Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
Chequing,67610-9288618,04/17/2025,,C-IDP PURCHASE-7683,Urban Home,-78.98,
Savings,76021-6587497,05/27/2025,,C-IDP PURCHASE-5097,Maple Books,-36.72,
Chequing,99972-2282636,04/12/2025,,C-IDP PURCHASE-1608,Fresh Electronics,-47.27,
Savings,83090-2219961,06/06/2025,,C-IDP PURCHASE-7986,Green Home,-48.25,
Savings,78788-9151638,04/25/2025,,C-IDP PURCHASE-5851,Premier Outfitters,-54.26,
Chequing,35886-1327770,04/06/2025,,Bill Payment,Rent Payment,-2100,
Savings,74460-7863075,06/23/2025,,C-IDP PURCHASE-4727,Urban Produce,-45.85,
Savings,39224-4048396,04/09/2025,,C-IDP PURCHASE-1375,Downtown Grocers,-18.58,
Chequing,56185-4659864,05/13/2025,,C-IDP PURCHASE-2324,Maple Books,-43.6,
Chequing,51330-2817204,04/30/2025,,C-IDP PURCHASE-3740,Village Bakery,-40.69,
Chequing,19927-6828717,06/28/2025,,C-IDP PURCHASE-6965,Urban Home,-149.06,
Chequing,30727-5657581,05/07/2025,,C-IDP PURCHASE-7478,Royal Gadgets,-96.55,
Savings,92031-1481589,06/03/2025,,C-IDP PURCHASE-1029,Green Gadgets,-49.13,
Chequing,47643-9854850,05/24/2025,,C-IDP PURCHASE-5531,Urban Home,-65.88,
Chequing,45115-7785874,06/01/2025,,C-IDP PURCHASE-8996,Downtown Foods,-63.55,
Chequing,21656-4399644,05/13/2025,,C-IDP PURCHASE-3938,Maple Market,-140.78,
Savings,37153-9038184,05/31/2025,,C-IDP PURCHASE-2079,Village Foods,-26.09,
Chequing,14176-1849398,06/18/2025,,C-IDP PURCHASE-8398,Urban Electronics,-148.69,
Savings,79166-6882877,04/30/2025,,C-IDP PURCHASE-8817,Village Foods,-21.9,
Savings,60345-6663769,06/14/2025,,C-IDP PURCHASE-3167,Fresh Electronics,-85.57,
Chequing,39948-8455592,06/15/2025,,Bill Payment,Utilities Payment,-240,
Savings,95162-8462578,04/02/2025,,C-IDP PURCHASE-1687,Global Outfitters,-104.95,
Chequing,92712-2746652,05/01/2025,,C-IDP PURCHASE-5512,Green Market,-68.97,
Chequing,12308-2485268,05/09/2025,,C-IDP PURCHASE-9336,Maple Electronics,-115.44,
Chequing,70303-5870444,05/06/2025,,Payroll Deposit,Salary,3200,
Chequing,34001-6386861,04/28/2025,,C-IDP PURCHASE-9345,Urban Produce,-27.23,
Savings,49254-7055038,04/06/2025,,C-IDP PURCHASE-9776,Village Grocers,-142.37,
Savings,87070-1136285,06/26/2025,,C-IDP PURCHASE-5574,Maple Books,-38.24,
Savings,66572-7944900,04/24/2025,,C-IDP PURCHASE-2253,Downtown Foods,-84.97,
Chequing,10380-3862310,06/27/2025,,C-IDP PURCHASE-5996,Royal Market,-30.23,
Chequing,36042-7906933,04/07/2025,,C-IDP PURCHASE-9653,Global Electronics,-32.08,
Chequing,84914-8705525,06/15/2025,,C-IDP PURCHASE-5786,Express Electronics,-86.28,
Savings,59345-8098508,05/16/2025,,C-IDP PURCHASE-1281,Downtown Bakery,-33.31,
Chequing,19030-1390053,04/28/2025,,C-IDP PURCHASE-7603,Village Bakery,-74.31,
Chequing,90558-5267590,05/16/2025,,Bill Payment,Utilities Payment,-240,
Savings,86556-8529028,04/08/2025,,C-IDP PURCHASE-5117,Urban Books,-11.62,
Savings,38796-7100896,04/16/2025,,C-IDP PURCHASE-4336,Downtown Foods,-28.39,
Savings,98817-9264236,05/18/2025,,C-IDP PURCHASE-6928,Village Produce,-139.99,
Savings,52731-5322090,06/25/2025,,C-IDP PURCHASE-2561,Downtown Grocers,-88.94,
Savings,81846-5134759,04/25/2025,,C-IDP PURCHASE-2548,Downtown Bakery,-22.43,
Savings,88270-7358748,05/15/2025,,C-IDP PURCHASE-3218,Downtown Bakery,-82.73,
Savings,23832-3060205,05/21/2025,,C-IDP PURCHASE-9758,Global Electronics,-46.16,
Savings,58279-7611430,05/27/2025,,C-IDP PURCHASE-4544,Global Foods,-59.26,
Chequing,96447-6498773,04/08/2025,,C-IDP PURCHASE-9160,Royal Gadgets,-7.66,
Savings,23881-6573311,04/25/2025,,C-IDP PURCHASE-9731,Village Bakery,-36.66,
Savings,28757-3787847,04/09/2025,,C-IDP PURCHASE-7239,Green Bakery,-148.13,
Chequing,88936-9084052,05/06/2025,,C-IDP PURCHASE-2565,Green Home,-40.72,
Savings,80648-1883017,04/02/2025,,C-IDP PURCHASE-3560,Fresh Electronics,-111.46,
Savings,94218-1842569,04/02/2025,,C-IDP PURCHASE-3350,Royal Gadgets,-24.13,
Savings,23573-7922723,05/09/2025,,C-IDP PURCHASE-9766,Premier Produce,-47.76,
Chequing,52377-5301321,06/04/2025,,C-IDP PURCHASE-2293,Downtown Books,-101.27,
Savings,57652-4125095,05/06/2025,,C-IDP PURCHASE-6689,Urban Electronics,-51.51,
Savings,56455-4924686,05/17/2025,,C-IDP PURCHASE-4722,Fresh Electronics,-112.73,
Chequing,43359-9086810,06/21/2025,,C-IDP PURCHASE-6036,Village Market,-73.7,
Savings,17785-3718795,05/31/2025,,C-IDP PURCHASE-5353,Express Produce,-113.03,
Chequing,41719-9805280,05/19/2025,,C-IDP PURCHASE-2373,Village Bakery,-76.08,
Savings,60555-6652978,05/13/2025,,C-IDP PURCHASE-7573,Royal Market,-74.68,
Chequing,58186-9138818,06/24/2025,,C-IDP PURCHASE-5253,Premier Produce,-38.87,
Savings,67151-6242663,06/27/2025,,C-IDP PURCHASE-5976,Urban Produce,-77.98,
Chequing,10596-2212846,06/14/2025,,C-IDP PURCHASE-5170,Royal Market,-134.79,
Chequing,87424-4403784,06/21/2025,,C-IDP PURCHASE-4951,Express Books,-88.16,
Chequing,61906-7457850,05/13/2025,,C-IDP PURCHASE-5307,Urban Produce,-68.87,
Savings,73368-3595422,05/08/2025,,C-IDP PURCHASE-5812,Fresh Electronics,-94.27,
Chequing,49599-2136029,06/22/2025,,C-IDP PURCHASE-2667,Downtown Foods,-50.66,
Savings,20323-3141580,07/01/2025,,C-IDP PURCHASE-8681,Maple Books,-112.12,
Savings,81002-5590115,04/30/2025,,C-IDP PURCHASE-7230,Downtown Foods,-98.27,
Chequing,62705-8295689,05/22/2025,,C-IDP PURCHASE-6680,Premier Outfitters,-111.23,
Chequing,59014-2524573,06/19/2025,,C-IDP PURCHASE-4323,Global Outfitters,-90.14,
Savings,16789-2749505,06/07/2025,,C-IDP PURCHASE-8051,Village Outfitters,-93.54,
Chequing,14935-2087926,05/01/2025,,C-IDP PURCHASE-4137,Urban Books,-70.11,
Savings,24365-4198535,06/10/2025,,C-IDP PURCHASE-8583,Urban Home,-96.52,
Savings,80010-5581258,06/07/2025,,C-IDP PURCHASE-5904,Premier Produce,-103.02,
Savings,21501-3212078,05/17/2025,,C-IDP PURCHASE-1071,Express Electronics,-5.78,
Savings,81558-4248549,05/25/2025,,C-IDP PURCHASE-4285,Urban Gadgets,-87.68,
Savings,36039-1981132,06/19/2025,,C-IDP PURCHASE-1044,Global Outfitters,-58.84,
Chequing,24679-7847292,06/08/2025,,C-IDP PURCHASE-5365,Maple Electronics,-83.06,
Chequing,89114-3277628,04/14/2025,,C-IDP PURCHASE-8282,Urban Produce,-53.39,
Chequing,55561-4651453,05/28/2025,,C-IDP PURCHASE-9228,Global Electronics,-132.74,
Savings,32859-3996859,06/17/2025,,C-IDP PURCHASE-4537,Express Books,-8.13,
Savings,32793-6405063,04/28/2025,,C-IDP PURCHASE-2417,Village Books,-145.23,
Savings,36494-9233838,04/09/2025,,C-IDP PURCHASE-5984,Village Outfitters,-113.84,
Chequing,72341-6219276,04/10/2025,,Payroll Deposit,Salary,3200,
Chequing,31306-1710089,06/17/2025,,C-IDP PURCHASE-5028,Global Foods,-5.97,
Chequing,18653-8173934,04/21/2025,,C-IDP PURCHASE-5304,Royal Market,-58.11,
Savings,25382-9238181,06/25/2025,,C-IDP PURCHASE-4685,Maple Electronics,-79.87,
Savings,98494-6601683,05/19/2025,,C-IDP PURCHASE-1240,Urban Home,-98.22,
Chequing,42968-6321084,05/28/2025,,C-IDP PURCHASE-8267,Global Outfitters,-28.56,
Chequing,80285-5574318,05/13/2025,,C-IDP PURCHASE-9839,Downtown Electronics,-5.23,
Savings,44977-2715937,05/08/2025,,C-IDP PURCHASE-9749,Downtown Grocers,-12.26,
Chequing,54852-8407662,06/08/2025,,C-IDP PURCHASE-9218,Urban Books,-131.86,
Savings,28744-1121583,04/10/2025,,C-IDP PURCHASE-4402,Maple Market,-118.31,
Savings,31215-8587059,04/06/2025,,C-IDP PURCHASE-5823,Royal Gadgets,-110.08,
Chequing,70545-4251249,05/09/2025,,C-IDP PURCHASE-9573,Downtown Bakery,-87.05,
Chequing,83505-2154169,04/14/2025,,Payroll Deposit,Salary,3200,
Chequing,43589-9494663,06/19/2025,,C-IDP PURCHASE-5586,Downtown Produce,-50.98,
Savings,65403-2641234,04/20/2025,,C-IDP PURCHASE-5481,Fresh Electronics,-28.87,
Chequing,11710-5813528,05/28/2025,,Payroll Deposit,Salary,3200,
Savings,47757-1096597,05/23/2025,,C-IDP PURCHASE-9828,Urban Home,-35.91,
Savings,73203-7572489,04/18/2025,,C-IDP PURCHASE-2751,Downtown Books,-28.68,
Savings,75039-6080221,05/03/2025,,C-IDP PURCHASE-6855,Fresh Electronics,-114.11,
Chequing,95781-8801927,06/28/2025,,C-IDP PURCHASE-2273,Royal Gadgets,-106.03,
Savings,71457-2754401,05/20/2025,,C-IDP PURCHASE-7256,Global Electronics,-90.96,
Chequing,31229-3202061,06/30/2025,,Bill Payment,Rent Payment,-2100,
Chequing,39312-4421091,04/26/2025,,C-IDP PURCHASE-1590,Urban Produce,-12.71,
Savings,71876-8987352,05/07/2025,,C-IDP PURCHASE-8957,Fresh Electronics,-82.12,
Chequing,93178-1241721,06/28/2025,,Bill Payment,Rent Payment,-2100,
Savings,20889-9645779,05/24/2025,,C-IDP PURCHASE-5375,Urban Gadgets,-7.15,
Savings,84832-7595727,06/03/2025,,C-IDP PURCHASE-7461,Downtown Bakery,-117.1,
Savings,31842-7852238,05/19/2025,,C-IDP PURCHASE-1462,Green Market,-44.23,
Chequing,72282-8679768,04/12/2025,,C-IDP PURCHASE-3700,Downtown Home,-87.33,
Chequing,96895-2193209,04/18/2025,,Bill Payment,Utilities Payment,-240,
Savings,95160-7104087,04/03/2025,,C-IDP PURCHASE-1516,Urban Electronics,-144.18,
Chequing,24762-2121945,05/28/2025,,C-IDP PURCHASE-5638,Premier Outfitters,-79.31,
Chequing,45322-5561480,06/28/2025,,C-IDP PURCHASE-3299,Premier Outfitters,-63.07,
Chequing,96704-1705911,04/22/2025,,C-IDP PURCHASE-1275,Downtown Grocers,-11.19,
Savings,70719-9570373,04/11/2025,,C-IDP PURCHASE-3716,Express Books,-92.16,
Savings,65110-8551153,04/30/2025,,C-IDP PURCHASE-8077,Global Outfitters,-137.7,
Savings,67943-2247638,05/20/2025,,C-IDP PURCHASE-8346,Express Gadgets,-96.59,
Chequing,37171-3163665,04/08/2025,,C-IDP PURCHASE-9290,Downtown Bakery,-86.14,
Savings,21106-5443613,04/27/2025,,C-IDP PURCHASE-9175,Premier Produce,-63.91,
Chequing,13260-7849297,06/19/2025,,C-IDP PURCHASE-8531,Global Outfitters,-58.97,
Savings,81338-7667583,05/21/2025,,C-IDP PURCHASE-2423,Maple Market,-54.28,
Chequing,83270-6035837,05/18/2025,,C-IDP PURCHASE-5000,Express Gadgets,-115.39,
Savings,28961-2516506,06/29/2025,,C-IDP PURCHASE-6256,Downtown Foods,-13.13,
Chequing,66953-3144020,04/17/2025,,C-IDP PURCHASE-2247,Downtown Foods,-50.74,
Savings,11793-2101295,06/05/2025,,C-IDP PURCHASE-9258,Village Produce,-133.51,
Chequing,44877-1391761,06/03/2025,,C-IDP PURCHASE-3833,Global Electronics,-42.91,
Chequing,12489-6619981,06/25/2025,,C-IDP PURCHASE-2291,Green Gadgets,-130.89,
Chequing,52163-1229444,05/29/2025,,C-IDP PURCHASE-3011,Green Market,-17.11,
Chequing,65356-1490701,05/22/2025,,C-IDP PURCHASE-4920,Urban Books,-82.71,
Chequing,77532-2339645,06/05/2025,,C-IDP PURCHASE-5244,Green Bakery,-101.6,
Chequing,89684-1989657,04/11/2025,,C-IDP PURCHASE-8972,Express Produce,-47.96,
Chequing,61662-7595972,06/24/2025,,C-IDP PURCHASE-9282,Premier Outfitters,-67.68,
Chequing,71321-1887732,05/09/2025,,Bill Payment,Rent Payment,-2100,
Chequing,53166-6241711,06/02/2025,,C-IDP PURCHASE-3805,Village Home,-35.24,
Chequing,21213-7706903,05/19/2025,,C-IDP PURCHASE-8200,Downtown Bakery,-43.89,
Chequing,22758-2906827,04/17/2025,,Bill Payment,Rent Payment,-2100,
Savings,18547-8989658,04/30/2025,,C-IDP PURCHASE-9926,Fresh Electronics,-88.98,
Chequing,30940-5270205,06/14/2025,,C-IDP PURCHASE-4259,Village Books,-17.5,
Chequing,72886-5795372,04/23/2025,,Bill Payment,Utilities Payment,-240,
Savings,45516-7608626,06/19/2025,,C-IDP PURCHASE-2662,Express Electronics,-96.8,
Chequing,30436-7756829,06/23/2025,,C-IDP PURCHASE-4208,Urban Electronics,-30.15,
Chequing,56134-7606962,06/10/2025,,C-IDP PURCHASE-9773,Express Produce,-25.83,
Chequing,91387-6985265,05/28/2025,,C-IDP PURCHASE-1265,Downtown Home,-120.61,
Chequing,48714-6060183,04/13/2025,,C-IDP PURCHASE-3470,Green Bakery,-5.83,
Chequing,37051-2816917,06/02/2025,,C-IDP PURCHASE-4156,Downtown Electronics,-69.42,
Chequing,53458-2067861,06/20/2025,,C-IDP PURCHASE-1081,Global Electronics,-122.81,
Savings,46829-1324629,06/26/2025,,C-IDP PURCHASE-8180,Express Produce,-67.44,
Savings,57632-4144375,05/02/2025,,C-IDP PURCHASE-4131,Green Market,-79.77,
Chequing,25026-6117491,05/06/2025,,C-IDP PURCHASE-7968,Express Gadgets,-28.68,
Chequing,68472-5341475,06/25/2025,,C-IDP PURCHASE-8094,Village Foods,-63.13,
Savings,76467-1218077,04/17/2025,,C-IDP PURCHASE-3816,Urban Books,-143.83,
Savings,32759-1250283,04/10/2025,,C-IDP PURCHASE-2357,Village Produce,-34.69,
Chequing,28648-8036537,05/01/2025,,C-IDP PURCHASE-6912,Express Produce,-48.55,
Savings,72959-2339948,06/01/2025,,C-IDP PURCHASE-7532,Urban Produce,-99.43,
Chequing,37967-8551818,04/19/2025,,C-IDP PURCHASE-9898,Village Foods,-15.48,
Savings,32064-2653529,04/13/2025,,C-IDP PURCHASE-4762,Village Bakery,-63.34,
Savings,69306-7542460,04/06/2025,,C-IDP PURCHASE-5341,Maple Produce,-98.04,
Chequing,79767-1083815,05/04/2025,,C-IDP PURCHASE-9618,Urban Gadgets,-136.7,
Savings,20197-7697952,07/01/2025,,C-IDP PURCHASE-7303,Urban Electronics,-51.27,
Savings,55618-6209989,06/24/2025,,C-IDP PURCHASE-6878,Village Bakery,-5.85,
Chequing,48857-4507758,04/13/2025,,C-IDP PURCHASE-4170,Fresh Electronics,-113.72,
Chequing,10976-3639083,06/30/2025,,C-IDP PURCHASE-1264,Maple Electronics,-5.01,
Savings,96809-5559814,06/28/2025,,C-IDP PURCHASE-2885,Global Electronics,-147.43,
Chequing,25567-2272949,06/06/2025,,C-IDP PURCHASE-1887,Downtown Gadgets,-142.14,
Chequing,24210-9311671,06/28/2025,,C-IDP PURCHASE-9368,Urban Books,-148.83,
Savings,32492-6493006,06/30/2025,,C-IDP PURCHASE-4237,Urban Produce,-124.59,
Chequing,26979-1101515,06/09/2025,,C-IDP PURCHASE-7660,Express Gadgets,-32.68,
Chequing,14147-7315224,04/26/2025,,C-IDP PURCHASE-4650,Village Outfitters,-104.13,
Chequing,34511-5201801,05/05/2025,,C-IDP PURCHASE-6474,Premier Outfitters,-85.69,
Savings,26825-2329938,04/15/2025,,C-IDP PURCHASE-3182,Downtown Foods,-95.39,
Chequing,10068-7880911,04/20/2025,,C-IDP PURCHASE-2314,Fresh Electronics,-102.78,
Savings,58717-9391399,04/05/2025,,C-IDP PURCHASE-7128,Urban Produce,-107.98,
Savings,54242-8877886,06/12/2025,,C-IDP PURCHASE-1266,Global Electronics,-60.87,
